Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
NRP1-SUM159-shNRP1.5-RNA.1_R1	56846941	42105812	56846941	8527041150	10325491	7158458453	16.04991312842439
NRP1-SUM159-shNRP1.5-RNA.1_R2	56846941	42112973	56846941	8527041150	25890876	7146541433	16.18966875749157
NRP1-SUM159-shNRP1.5-RNA.2_R1	70838358	53229506	70838358	10625753700	6513439	8744529761	17.70438118662585
NRP1-SUM159-shNRP1.5-RNA.2_R2	70838358	53004272	70838358	10625753700	26043444	8736480821	17.780130542645647
NRP1-SUM159-shNRP1.5-RNA.3_R1	56156679	39205209	56156679	8423501850	4127354	7315056146	13.158965519785577
NRP1-SUM159-shNRP1.5-RNA.3_R2	56156679	38953464	56156679	8423501850	20368081	7306941118	13.255303457908067
NRP1-SUM159-shNT-RNA.1_R1	60227108	39431286	60227108	9034066200	11158887	8178641506	9.468877857016368
NRP1-SUM159-shNT-RNA.1_R2	60227108	39459447	60227108	9034066200	21925519	8168657958	9.579387872982378
NRP1-SUM159-shNT-RNA.2_R1	59691076	38834120	59691076	8953661400	4142313	8132400423	9.172347940251571
NRP1-SUM159-shNT-RNA.2_R2	59691076	38769042	59691076	8953661400	27088841	8118084242	9.332239858880524
NRP1-SUM159-shNT-RNA.3_R1	76001429	46511817	76001429	11400214350	4679335	10531945750	7.616248022564593
NRP1-SUM159-shNT-RNA.3_R2	76001429	46037219	76001429	11400214350	31782195	10514920401	7.765590381201911
NRP1-SUM159-siNRP1.3-RNA.1_R1	50669494	34135047	50669494	7600424100	2871182	6764080554	11.003906295176344
NRP1-SUM159-siNRP1.3-RNA.1_R2	50669494	33986831	50669494	7600424100	17083529	6756690151	11.101143013848398
NRP1-SUM159-siNRP1.3-RNA.2_R1	58109832	38375513	58109832	8716474800	12089702	7839316542	10.063222554145398
NRP1-SUM159-siNRP1.3-RNA.2_R2	58109832	38764997	58109832	8716474800	23001641	7828778741	10.184117769720393
NRP1-SUM159-siNRP1.3-RNA.3_R1	63016466	45396877	63016466	9452469900	16062077	8069988557	14.625609577450227
NRP1-SUM159-siNRP1.3-RNA.3_R2	63016466	45638824	63016466	9452469900	22726138	8059941530	14.731899542996693
NRP1-SUM159-siNRP1.5-RNA.2_R1	56885347	41856893	56885347	8532802050	23186911	7241470433	15.133734609488567
NRP1-SUM159-siNRP1.5-RNA.2_R2	56885347	41933972	56885347	8532802050	25477779	7231484181	15.250768286602876
NRP1-SUM159-siNRP1.5-RNA.3_R1	73585450	47377720	73585450	11037817500	5567254	10073477171	8.736693907106183
NRP1-SUM159-siNRP1.5-RNA.3_R2	73585450	47307791	73585450	11037817500	32735241	10055170046	8.902552103257731
NRP1-SUM159-siNT-RNA.1_R1	60067031	40211205	60067031	9010054650	5310739	8067714835	10.458758038720664
NRP1-SUM159-siNT-RNA.1_R2	60067031	40198295	60067031	9010054650	27930410	8054991984	10.599965295438025
NRP1-SUM159-siNT-RNA.2_R1	60325991	42029277	60325991	9048898650	5368900	8008290081	11.499836712172701
NRP1-SUM159-siNT-RNA.2_R2	60325991	42085009	60325991	9048898650	23182571	7998818234	11.604510743415167
NRP1-SUM159-siNT-RNA.3_R1	53846249	38001535	53846249	8076937350	3266323	6976680082	13.622208769515836
NRP1-SUM159-siNT-RNA.3_R2	53846249	37871070	53846249	8076937350	22650452	6968328729	13.72560629060717
